status,band,address,neighborhood,ptype,sqft,asked,ask_ppsf,supported_ppsf,over_pct,suggested_list,reduce_by,pitch
Active,$3M–$5M,525 N Fort Lauderdale Beach Boulevard Unit#1101,Four Seasons,Condo,2189,4650000,2124.0,1579.0,34.5,3456000,1194000,"Listed 35% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,456,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Blvd Unit#702,Four Seasons,Condo,2230,4595000,2061.0,1625.0,26.8,3624000,971000,"Listed 27% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,624,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Boulevard Unit#1903,Four Seasons,Condo,2083,4500000,2160.0,1588.0,36.0,3308000,1192000,"Listed 36% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,308,000."
Active,$3M–$5M,2701 N Atlantic Blvd,Lauderdale Beach,Single Family,3084,4500000,1459.0,917.0,59.1,2828000,1672000,"Listed 59% over supported value — comparable Lauderdale Beach homes sell near $1,015/sqft. Suggested list $2,828,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Blvd Unit#802,Four Seasons,Condo,2237,4495000,2009.0,1625.0,23.6,3635000,860000,"Listed 24% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,635,000."
Pending,$3M–$5M,1425 Middle River Drive,Coral Ridge,Single Family,3425,4475000,1307.0,982.0,33.1,3363000,1112000,"Listed 33% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $3,363,000."
Active,$3M–$5M,450 Victoria Terrace,Victoria Park,Single Family,4042,4395000,1087.0,975.0,11.5,3941000,454000,"Listed 11% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $3,941,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Boulevard Unit#602,Four Seasons,Condo,2034,4000000,1967.0,1247.0,57.7,2536000,1464000,"Listed 58% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $2,536,000."
Active,$3M–$5M,1518 E Lake Drive,Harbor Beach,Single Family,3781,3995000,1057.0,901.0,17.3,3407000,588000,"Listed 17% over supported value — comparable Harbor Beach homes sell near $921/sqft. Suggested list $3,407,000."
Active,$3M–$5M,1624 Middle River,Coral Ridge,Single Family,3142,3900000,1241.0,1048.0,18.4,3293000,607000,"Listed 18% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $3,293,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Boulevard Unit#1505,Four Seasons,Condo,1597,3895000,2439.0,1801.0,35.4,2876000,1019000,"Listed 35% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $2,876,000."
Active,$3M–$5M,1630 SE 11th Street,Rio Vista,Single Family,2545,3750000,1473.0,1163.0,26.7,2960000,790000,"Listed 27% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $2,960,000."
Pending,$3M–$5M,2725 NE 28th Street,Coral Ridge Galt,Single Family,3200,3599000,1125.0,994.0,13.2,3181000,418000,"Listed 13% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $3,181,000."
Active,$3M–$5M,405 Bontona Ave,Venice,Single Family,3342,3595000,1076.0,965.0,11.5,3225000,370000,"Listed 12% over supported value — comparable Venice homes sell near $1,123/sqft. Suggested list $3,225,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Blvd Unit#1705,Four Seasons,Condo,1948,3500000,1797.0,1608.0,11.8,3132000,368000,"Listed 12% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $3,132,000."
Active,$3M–$5M,325 Poinciana Drive,Idlewyld,Single Family,2453,3495000,1425.0,1028.0,38.6,2522000,973000,"Listed 39% over supported value — comparable Idlewyld homes sell near $813/sqft. Suggested list $2,522,000."
Active,$3M–$5M,2878 NE 26th Street,Coral Ridge Galt,Single Family,3583,3495000,975.0,819.0,19.0,2934000,561000,"Listed 19% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $2,934,000."
Active,$3M–$5M,525 N Fort Lauderdale Beach Boulevard Unit#1605,Four Seasons,Condo,1794,3400000,1895.0,1228.0,54.3,2203000,1197000,"Listed 54% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $2,203,000."
Active,$3M–$5M,2832 NE 26th St,Coral Ridge Galt,Single Family,2722,3397000,1248.0,867.0,43.9,2360000,1037000,"Listed 44% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $2,360,000."
Active,$3M–$5M,100 E Las Olas Boulevard Unit#4001,Las Olas,Condo,3626,3299000,910.0,582.0,56.4,2110000,1189000,"Listed 56% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $2,110,000."
Active,$3M–$5M,449 Bontona Avenue,Venice,Single Family,2440,3100000,1270.0,933.0,36.1,2277000,823000,"Listed 36% over supported value — comparable Venice homes sell near $1,123/sqft. Suggested list $2,277,000."
Active,$2M–$3M,1321 Tangelo Isle,South New River Isles,Single Family,2489,2950000,1185.0,930.0,27.4,2315000,635000,"Listed 27% over supported value — comparable South New River Isles homes sell near $715/sqft. Suggested list $2,315,000."
Active,$2M–$3M,801 NE 16th Ave,Progresso,Single Family,3500,2899000,828.0,661.0,25.3,2314000,585000,"Listed 25% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $2,314,000."
Active,$2M–$3M,525 N Fort Lauderdale Beach Boulevard Unit#1607,Four Seasons,Condo,1308,2700000,2064.0,1632.0,26.5,2135000,565000,"Listed 26% over supported value — comparable Four Seasons homes sell near $1,784/sqft. Suggested list $2,135,000."
Active,$2M–$3M,2500 Bayview Dr,Coral Ridge Galt,Single Family,2309,2690000,1165.0,910.0,28.0,2101000,589000,"Listed 28% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $2,101,000."
Active,$2M–$3M,1331 NE 16th Ter,Progresso,Single Family,3438,2625000,764.0,677.0,12.9,2328000,297000,"Listed 13% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $2,328,000."
Active,$2M–$3M,1700 NE 19th Street,Poinsettia Heights,Single Family,2897,2599000,897.0,760.0,18.0,2202000,397000,"Listed 18% over supported value — comparable Poinsettia Heights homes sell near $524/sqft. Suggested list $2,202,000."
Active,$2M–$3M,1708 SE 11th Street,Rio Vista,Single Family,2111,2495000,1182.0,980.0,20.6,2069000,426000,"Listed 21% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $2,069,000."
Active,$2M–$3M,3319 NE 18TH Street,Las Olas,Single Family,2208,2400000,1087.0,843.0,28.9,1861000,539000,"Listed 29% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,861,000."
Active,$2M–$3M,2417 SE 19th Place,Harbour Heights,Single Family,2705,2400000,887.0,626.0,41.7,1693000,707000,"Listed 42% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $1,693,000."
Active,$2M–$3M,1032 SE 13th Terrace,Rio Vista,Single Family,2320,2375000,1024.0,755.0,35.6,1752000,623000,"Listed 36% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $1,752,000."
Active,$2M–$3M,1533 NE 16th Avenue,Poinsettia Heights,Single Family,2542,2350000,924.0,758.0,21.9,1927000,423000,"Listed 22% over supported value — comparable Poinsettia Heights homes sell near $524/sqft. Suggested list $1,927,000."
Active,$2M–$3M,1523 NE 17th Way,Progresso,Single Family,2568,2345000,913.0,725.0,25.9,1862000,483000,"Listed 26% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $1,862,000."
Active,$2M–$3M,101 S Fort Lauderdale Beach Boulevard Unit#1404,Las Olas,Condo,2378,2299000,967.0,621.0,55.7,1477000,822000,"Listed 56% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,477,000."
Active,$2M–$3M,1001 SE 10th Street,Rio Vista,Single Family,2518,2295000,911.0,675.0,35.0,1700000,595000,"Listed 35% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $1,700,000."
Active,$2M–$3M,359 Poinciana Drive,Idlewyld,Single Family,2344,2250000,960.0,866.0,10.9,2030000,220000,"Listed 11% over supported value — comparable Idlewyld homes sell near $813/sqft. Suggested list $2,030,000."
Pending,$2M–$3M,1621 E Broward Boulevard,Victoria Park,Townhouse,3227,2245000,696.0,532.0,30.8,1717000,528000,"Listed 31% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,717,000."
Active,$2M–$3M,1521 NE 26th Ave Unit#B,Coral Ridge,Townhouse,3403,2200000,646.0,559.0,15.6,1902000,298000,"Listed 16% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $1,902,000."
Active,$2M–$3M,1015 B NE 3rd Street,Victoria Park,Townhouse,3276,2200000,672.0,516.0,30.2,1690000,510000,"Listed 30% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,690,000."
Active,$2M–$3M,2108 NE 24th St,Coral Point,Single Family,2824,2150000,761.0,626.0,21.6,1768000,382000,"Listed 22% over supported value — comparable Coral Point homes sell near $574/sqft. Suggested list $1,768,000."
Active,$2M–$3M,2124 Coral Shores Drive,Coral Shores,Single Family,2580,2100000,814.0,666.0,22.2,1718000,382000,"Listed 22% over supported value — comparable Coral Shores homes sell near $501/sqft. Suggested list $1,718,000."
Active,$2M–$3M,2701 NE 30th St,Coral Ridge Galt,Single Family,2330,2099999,901.0,642.0,40.3,1496000,604000,"Listed 40% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,496,000."
Active,$1M–$2M,2801 Coral Shores Dr,Coral Shores,Single Family,2307,1999000,866.0,674.0,28.5,1555000,444000,"Listed 28% over supported value — comparable Coral Shores homes sell near $501/sqft. Suggested list $1,555,000."
Active,$1M–$2M,101 S Fort Lauderdale Beach Boulevard Unit#1502,Las Olas,Condo,2380,1975000,830.0,621.0,33.7,1478000,497000,"Listed 34% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,478,000."
Active,$1M–$2M,704 SE 8th Street,Rio Vista,Single Family,2087,1950000,934.0,632.0,47.8,1319000,631000,"Listed 48% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $1,319,000."
Active,$1M–$2M,1020 SE 11th Street,Rio Vista,Single Family,2321,1899000,818.0,702.0,16.5,1629000,270000,"Listed 17% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $1,629,000."
Active,$1M–$2M,1635 Seabreeze Boulevard,Harbor Beach,Single Family,1584,1895000,1196.0,753.0,58.8,1193000,702000,"Listed 59% over supported value — comparable Harbor Beach homes sell near $921/sqft. Suggested list $1,193,000."
Active,$1M–$2M,104 NE 16th Ter,Victoria Park,Townhouse,2901,1875000,646.0,530.0,21.9,1538000,337000,"Listed 22% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,538,000."
Pending,$1M–$2M,2800 NE 29th Street,Coral Ridge Galt,Single Family,1708,1875000,1098.0,839.0,30.9,1433000,442000,"Listed 31% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,433,000."
Active,$1M–$2M,2100 S Ocean Ln Unit#506,Point Americas,Condo,2524,1795000,711.0,578.0,23.0,1459000,336000,"Listed 23% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,459,000."
Active,$1M–$2M,2200 S Ocean Ln Unit#2804,Point Americas,Condo,2011,1795000,893.0,573.0,55.8,1152000,643000,"Listed 56% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,152,000."
Active,$1M–$2M,333 Las Olas Way Unit#2409,Las Olas,Condo,2141,1750000,817.0,617.0,32.4,1321000,429000,"Listed 32% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,321,000."
Active,$1M–$2M,1935 SE 25th Avenue,Harbour Heights,Single Family,2169,1749999,807.0,714.0,13.0,1549000,201000,"Listed 13% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $1,549,000."
Pending,$1M–$2M,2711 Mayan Dr,Harbor Beach,Single Family,1846,1699000,920.0,762.0,20.7,1407000,292000,"Listed 21% over supported value — comparable Harbor Beach homes sell near $921/sqft. Suggested list $1,407,000."
Active,$1M–$2M,729 NE 17th Terrace,Victoria Park,Single Family,2126,1699000,799.0,606.0,31.8,1288000,411000,"Listed 32% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,288,000."
Pending,$1M–$2M,906 NE 17TH TER,Victoria Park,Townhouse,2623,1650000,629.0,524.0,20.0,1374000,276000,"Listed 20% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,374,000."
Pending,$1M–$2M,2889 NE 26th Street,Coral Ridge Galt,Single Family,2122,1650000,778.0,663.0,17.3,1407000,243000,"Listed 17% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,407,000."
Pending,$1M–$2M,2800 NE 21st Court,Coral Ridge,Single Family,2124,1650000,777.0,656.0,18.4,1393000,257000,"Listed 18% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $1,393,000."
Active,$1M–$2M,100 E Las Olas Boulevard Unit#3804,Las Olas,Condo,1867,1649000,883.0,586.0,50.7,1094000,555000,"Listed 51% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,094,000."
Active,$1M–$2M,411 N New River Dr E Unit#3703,Las Olas,Condo,2110,1629000,772.0,619.0,24.7,1306000,323000,"Listed 25% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,306,000."
Active,$1M–$2M,2100 S Ocean Ln Unit#412,Point Americas,Condo,1813,1625000,896.0,576.0,55.6,1044000,581000,"Listed 56% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,044,000."
Active,$1M–$2M,2100 S Ocean Lane Unit#1712,Point Americas,Condo,1813,1595000,880.0,576.0,52.8,1044000,551000,"Listed 53% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,044,000."
Active,$1M–$2M,919 NE 17th Terrace Unit#A,Victoria Park,Townhouse,2445,1595000,652.0,578.0,12.8,1413000,182000,"Listed 13% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,413,000."
Active,$1M–$2M,203 SW 10th Street,Lauderdale,Townhouse,2560,1595000,623.0,478.0,30.3,1224000,371000,"Listed 30% over supported value — comparable Lauderdale homes sell near $463/sqft. Suggested list $1,224,000."
Active,$1M–$2M,2308 SE 18 St,Harbour Heights,Single Family,1658,1575000,950.0,689.0,37.9,1142000,433000,"Listed 38% over supported value — comparable Harbour Heights homes sell near $701/sqft. Suggested list $1,142,000."
Pending,$1M–$2M,100 E Las Olas Boulevard Unit#3004,Las Olas,Condo,1867,1549000,830.0,598.0,38.8,1116000,433000,"Listed 39% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,116,000."
Active,$1M–$2M,915 SE 2nd Court,Colee Hammock,Townhouse,2561,1524900,595.0,538.0,10.6,1378000,147000,"Listed 11% over supported value — comparable Colee Hammock homes sell near $686/sqft. Suggested list $1,378,000."
Active,$1M–$2M,1676 S Ocean Lane Unit#253,Oceanage,Condo,1264,1500000,1187.0,931.0,27.5,1177000,323000,"Listed 27% over supported value — comparable Oceanage homes sell near $799/sqft. Suggested list $1,177,000."
Active,$1M–$2M,2417 NE 19th Avenue,Middle River Manor,Single Family,1776,1499000,844.0,597.0,41.4,1060000,439000,"Listed 41% over supported value — comparable Middle River Manor homes sell near $619/sqft. Suggested list $1,060,000."
Active,$1M–$2M,333 Las Olas Way Unit#2505,Las Olas,Condo,2129,1499000,704.0,635.0,10.9,1352000,147000,"Listed 11% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,352,000."
Active,$1M–$2M,2409 Bayview Dr,Coral Ridge Galt,Single Family,2169,1499000,691.0,598.0,15.6,1297000,202000,"Listed 16% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,297,000."
Active,$1M–$2M,1713 SW 5th St,Gill Isles,Single Family,1532,1495000,976.0,629.0,55.2,964000,531000,"Listed 55% over supported value — comparable Gill Isles homes sell near $538/sqft. Suggested list $964,000."
Pending,$1M–$2M,1122 NE 10th Ave Unit#A,Progresso,Townhouse,2814,1495000,531.0,387.0,37.2,1089000,406000,"Listed 37% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $1,089,000."
Pending,$1M–$2M,1122 NE 10th Ave Unit#B,Progresso,Townhouse,2814,1475000,524.0,387.0,35.4,1089000,386000,"Listed 35% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $1,089,000."
Active,$1M–$2M,100 E Las Olas Boulevard Unit#2404,Las Olas,Condo,1867,1475000,790.0,598.0,32.1,1116000,359000,"Listed 32% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,116,000."
Active,$1M–$2M,606 NE 14th Ave,Progresso,Townhouse,3386,1449000,428.0,305.0,40.3,1033000,416000,"Listed 40% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $1,033,000."
Active,$1M–$2M,2100 S Ocean Lane Unit#1411,Point Americas,Condo,1912,1400000,732.0,572.0,28.0,1094000,306000,"Listed 28% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,094,000."
Active,$1M–$2M,3000 NE 21st Terrace,Coral Shores,Single Family,1920,1400000,729.0,487.0,49.7,935000,465000,"Listed 50% over supported value — comparable Coral Shores homes sell near $501/sqft. Suggested list $935,000."
Active,$1M–$2M,101 S Fort Lauderdale Beach Boulevard Unit#907,Las Olas,Condo,1905,1399000,734.0,611.0,20.1,1164000,235000,"Listed 20% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,164,000."
Active,$1M–$2M,909 NE 16th Ave,Progresso,Townhouse,2483,1399000,563.0,378.0,48.9,939000,460000,"Listed 49% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $939,000."
Active,$1M–$2M,1523 SE 2nd Court,Colee Hammock,Single Family,1787,1395000,781.0,705.0,10.8,1260000,135000,"Listed 11% over supported value — comparable Colee Hammock homes sell near $686/sqft. Suggested list $1,260,000."
Active,$1M–$2M,535 N Victoria Park Road,Victoria Park,Single Family,1792,1389000,775.0,512.0,51.4,918000,471000,"Listed 51% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $918,000."
Pending,$1M–$2M,648 NE 17th Avenue,Victoria Park,Single Family,1888,1380000,731.0,592.0,23.5,1118000,262000,"Listed 23% over supported value — comparable Victoria Park homes sell near $590/sqft. Suggested list $1,118,000."
Active,$1M–$2M,411 N New River Dr Drive Unit#3605,Las Olas,Condo,1630,1350000,828.0,619.0,33.8,1009000,341000,"Listed 34% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,009,000."
Active,$1M–$2M,2615 NE 26th Street,Coral Ridge Galt,Single Family,1709,1349000,789.0,639.0,23.5,1092000,257000,"Listed 23% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,092,000."
Pending,$1M–$2M,1004 SE 11th Street,Rio Vista,Single Family,1891,1330000,703.0,628.0,11.9,1188000,142000,"Listed 12% over supported value — comparable Rio Vista homes sell near $800/sqft. Suggested list $1,188,000."
Active,$1M–$2M,2100 S Ocean Lane Unit#2508,Point Americas,Condo,1880,1325000,705.0,574.0,22.8,1079000,246000,"Listed 23% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,079,000."
Active,$1M–$2M,1900 Bayview Drive,Coral Ridge,Single Family,1711,1300000,760.0,677.0,12.3,1158000,142000,"Listed 12% over supported value — comparable Coral Ridge homes sell near $793/sqft. Suggested list $1,158,000."
Active,$1M–$2M,1123 NE 12th Avenue Unit#A,Progresso,Townhouse,2316,1299999,561.0,426.0,31.7,987000,313000,"Listed 32% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $987,000."
Active,$1M–$2M,12 NE 26th St,Wilton Manors,Single Family,1596,1299000,814.0,656.0,24.1,1047000,252000,"Listed 24% over supported value — comparable Wilton Manors homes sell near $597/sqft. Suggested list $1,047,000."
Active,$1M–$2M,2100 S Ocean Lane Unit#1202,Point Americas,Condo,1879,1295000,689.0,576.0,19.6,1082000,213000,"Listed 20% over supported value — comparable Point Americas homes sell near $541/sqft. Suggested list $1,082,000."
Active,$1M–$2M,411 N New River Dr Drive Unit#1703,Las Olas,Condo,2110,1295000,614.0,469.0,30.9,990000,305000,"Listed 31% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $990,000."
Active,$1M–$2M,700 NE 14th Ave Unit#311,Progresso,Townhouse,2228,1295000,581.0,393.0,47.8,876000,419000,"Listed 48% over supported value — comparable Progresso homes sell near $409/sqft. Suggested list $876,000."
Active,$1M–$2M,333 Las Olas Way Unit#3006,Las Olas,Condo,1869,1295000,693.0,628.0,10.4,1174000,121000,"Listed 10% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,174,000."
Active,$1M–$2M,333 Las Olas Way Unit#1207,Las Olas,Condo,1522,1295000,851.0,642.0,32.6,977000,318000,"Listed 33% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $977,000."
Pending,$1M–$2M,333 Las Olas Way Unit#2906,Las Olas,Condo,1869,1250000,669.0,475.0,40.8,888000,362000,"Listed 41% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $888,000."
Active,$1M–$2M,1900 NE 16th Terrace,Poinsettia Heights,Single Family,2000,1250000,625.0,482.0,29.7,964000,286000,"Listed 30% over supported value — comparable Poinsettia Heights homes sell near $524/sqft. Suggested list $964,000."
Pending,$1M–$2M,411 N New River Drive Unit#3402,Las Olas,Condo,1630,1249000,766.0,619.0,23.7,1009000,240000,"Listed 24% over supported value — comparable Las Olas homes sell near $627/sqft. Suggested list $1,009,000."
Pending,$1M–$2M,2549 NE 27th Avenue,Coral Ridge Galt,Single Family,1545,1235000,799.0,650.0,22.9,1004000,231000,"Listed 23% over supported value — comparable Coral Ridge Galt homes sell near $701/sqft. Suggested list $1,004,000."
Pending,$1M–$2M,2164 NE 25th Street,Coral Point,Single Family,1785,1199950,672.0,595.0,12.9,1062000,138000,"Listed 13% over supported value — comparable Coral Point homes sell near $574/sqft. Suggested list $1,062,000."
