target,target_neighborhood,target_list,basis,comp_address,comp_sold_price,comp_ppsf,comp_sqft
2500 Mercedes Dr,Harbor Beach,27500000,same street,2572 Mercedes Drive,17000000,2238.0,7595
2500 Mercedes Dr,Harbor Beach,27500000,same street,2552 Mercedes Dr,4950000,1740.0,2845
23 Isla Bahia Dr,Isla Bahia,24900000,same street,38 Isla Bahia Dr,12250000,1507.0,8130
23 Isla Bahia Dr,Isla Bahia,24900000,same street,3 Isla Bahia Drive,9286200,1389.0,6686
23 Isla Bahia Dr,Isla Bahia,24900000,same street,84 Isla Bahia Dr,34000000,2903.0,11714
23 Isla Bahia Dr,Isla Bahia,24900000,same street,4 Isla Bahia Drive,7800000,1475.0,5287
801 Seabreeze Blvd Unit#PH2406,St Regis Residences,22000000,same street,1515 Seabreeze Blvd,2200000,654.0,3366
801 Seabreeze Blvd Unit#PH2406,St Regis Residences,22000000,same street,1237 Seabreeze Blvd,4400000,1358.0,3240
801 Seabreeze Blvd Unit#PH2406,St Regis Residences,22000000,same street,1217 Seabreeze Blvd,1862000,688.0,2706
801 Seabreeze Blvd Unit#PH2406,St Regis Residences,22000000,same street,1344 Seabreeze Blvd,1635000,628.0,2605
801 Seabreeze Blvd Unit#PH2406,St Regis Residences,22000000,same street,1530 Seabreeze Boulevard,1635000,776.0,2106
671 Middle River Drive,Sunrise,21900000,same street,797 Middle River Drive,7600000,1087.0,6994
671 Middle River Drive,Sunrise,21900000,same street,639 Middle River Dr,7200000,1202.0,5990
671 Middle River Drive,Sunrise,21900000,same street,1400 Middle River Drive,4510000,999.0,4515
671 Middle River Drive,Sunrise,21900000,same street,1710 Middle River Dr,3150000,846.0,3722
671 Middle River Drive,Sunrise,21900000,same street,644 Middle River Dr,3300000,936.0,3526
1822 SE 9th Street,Rio Vista,20995000,same street,1716 SE 9TH ST,6950000,1124.0,6186
1822 SE 9th Street,Rio Vista,20995000,same street,930 SE 9th St,3000000,712.0,4213
1822 SE 9th Street,Rio Vista,20995000,same street,1013 SE 9th St,2999000,749.0,4002
1822 SE 9th Street,Rio Vista,20995000,same street,1515 SE 9th St,4000000,1057.0,3786
1822 SE 9th Street,Rio Vista,20995000,same street,1401 SE 9th Street,3795000,1295.0,2930
801 Seabreeze Boulevard Unit#Ph 2302,St Regis Residences,20500000,same street,1515 Seabreeze Blvd,2200000,654.0,3366
801 Seabreeze Boulevard Unit#Ph 2302,St Regis Residences,20500000,same street,1237 Seabreeze Blvd,4400000,1358.0,3240
801 Seabreeze Boulevard Unit#Ph 2302,St Regis Residences,20500000,same street,1217 Seabreeze Blvd,1862000,688.0,2706
801 Seabreeze Boulevard Unit#Ph 2302,St Regis Residences,20500000,same street,1344 Seabreeze Blvd,1635000,628.0,2605
801 Seabreeze Boulevard Unit#Ph 2302,St Regis Residences,20500000,same street,1530 Seabreeze Boulevard,1635000,776.0,2106
5 Isla Bahia Drive,Harbor Beach,20000000,same street,38 Isla Bahia Dr,12250000,1507.0,8130
5 Isla Bahia Drive,Harbor Beach,20000000,same street,3 Isla Bahia Drive,9286200,1389.0,6686
5 Isla Bahia Drive,Harbor Beach,20000000,same street,84 Isla Bahia Dr,34000000,2903.0,11714
5 Isla Bahia Drive,Harbor Beach,20000000,same street,4 Isla Bahia Drive,7800000,1475.0,5287
815 Idlewyld Drive,Idlewyld,19950000,same street,417 Idlewyld Dr,11800000,1723.0,6848
815 Idlewyld Drive,Idlewyld,19950000,same street,701 Idlewyld Dr,5455000,930.0,5868
70 Isla Bahia Drive,Isla Bahia,18950000,same street,38 Isla Bahia Dr,12250000,1507.0,8130
70 Isla Bahia Drive,Isla Bahia,18950000,same street,3 Isla Bahia Drive,9286200,1389.0,6686
70 Isla Bahia Drive,Isla Bahia,18950000,same street,4 Isla Bahia Drive,7800000,1475.0,5287
70 Isla Bahia Drive,Isla Bahia,18950000,same street,84 Isla Bahia Dr,34000000,2903.0,11714
51 Isla Bahia Dr,Isla Bahia,17900000,same street,84 Isla Bahia Dr,34000000,2903.0,11714
51 Isla Bahia Dr,Isla Bahia,17900000,same street,38 Isla Bahia Dr,12250000,1507.0,8130
51 Isla Bahia Dr,Isla Bahia,17900000,same street,3 Isla Bahia Drive,9286200,1389.0,6686
51 Isla Bahia Dr,Isla Bahia,17900000,same street,4 Isla Bahia Drive,7800000,1475.0,5287
515 Lido Drive,Coral Isles,16750000,same street,530 Lido Dr,4820000,647.0,7450
515 Lido Drive,Coral Isles,16750000,same street,515 Lido Dr,4400000,1378.0,3193
515 Lido Drive,Coral Isles,16750000,same street,321 Lido Dr,3170000,1247.0,2543
2221 SE 17th St Unit#PH3,Pier Sixty Six,16000000,same street,1819 SE 17th St Unit#1107,815000,438.0,1860
2221 SE 17th St Unit#PH3,Pier Sixty Six,16000000,same street,1819 SE 17th St Unit#507,780000,419.0,1860
2221 SE 17th St Unit#PH3,Pier Sixty Six,16000000,same street,1819 SE 17th St Unit#1606,849000,485.0,1750
2221 SE 17th St Unit#PH3,Pier Sixty Six,16000000,same street,1819 SE 17th St Unit#906,775000,443.0,1750
2221 SE 17th St Unit#PH3,Pier Sixty Six,16000000,same street,1819 SE 17th St Unit#903,595000,403.0,1475
1918 Intracoastal Drive,Coral Ridge,15995000,same street,520 Intracoastal Drive,9250000,1654.0,5594
1918 Intracoastal Drive,Coral Ridge,15995000,same street,2222 Intracoastal Dr,5500000,1014.0,5422
1918 Intracoastal Drive,Coral Ridge,15995000,same street,2110 Intracoastal Dr,4654917,948.0,4908
1918 Intracoastal Drive,Coral Ridge,15995000,same street,2210 Intracoastal Dr,5400000,1194.0,4524
1918 Intracoastal Drive,Coral Ridge,15995000,same street,920 Intracoastal Drive Unit#Ph1,5400000,1257.0,4295
441 Isle Of Palms Drive,Stilwell Isles Pal,15950000,same street,630 Isle Of Palms Dr,10729500,1522.0,7050
441 Isle Of Palms Drive,Stilwell Isles Pal,15950000,same street,508 Isle Of Palms Dr,6115000,928.0,6586
441 Isle Of Palms Drive,Stilwell Isles Pal,15950000,same street,710 Isle Of Palms Drive,6495000,1167.0,5567
441 Isle Of Palms Drive,Stilwell Isles Pal,15950000,same street,449 Isle Of Palms Dr,4050000,953.0,4251
650 Royal Plaza Dr,Stilwell Isles,15950000,same street,615 Royal Plaza Dr,7900000,1197.0,6600
650 Royal Plaza Dr,Stilwell Isles,15950000,same street,519 ROYAL PLAZA DR,5400000,903.0,5981
650 Royal Plaza Dr,Stilwell Isles,15950000,same street,700 Royal Plaza Dr,4000000,934.0,4282
650 Royal Plaza Dr,Stilwell Isles,15950000,same street,703 Royal Plaza Dr,5200000,1225.0,4245
650 Royal Plaza Dr,Stilwell Isles,15950000,same street,701 Royal Plaza Dr,4700000,1300.0,3616
1239 Middle River Dr,Beach Way Heights,15495000,same street,797 Middle River Drive,7600000,1087.0,6994
1239 Middle River Dr,Beach Way Heights,15495000,same street,639 Middle River Dr,7200000,1202.0,5990
1239 Middle River Dr,Beach Way Heights,15495000,same street,1400 Middle River Drive,4510000,999.0,4515
1239 Middle River Dr,Beach Way Heights,15495000,same street,1710 Middle River Dr,3150000,846.0,3722
1239 Middle River Dr,Beach Way Heights,15495000,same street,644 Middle River Dr,3300000,936.0,3526
525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,14995000,same street,1525 N Fort Lauderdale Beach Boulevard,5050000,1282.0,3938
525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,14995000,same street,1 N Fort Lauderdale Beach Boulevard Unit#2203,4700000,1226.0,3833
525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,14995000,same street,505 N Fort Lauderdale Beach Blvd Unit#224,600000,218.0,2757
525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,14995000,same street,525 N Fort Lauderdale Beach Blvd Unit#1501,5750000,2233.0,2575
525 N Fort Lauderdale Beach Boulevard Unit#2201,Four Seasons,14995000,same street,1 N Fort Lauderdale Beach Blvd Unit#1906,2400000,946.0,2536
2533 Aqua Vista Boulevard,Sea Isles,14995000,same street,2533 Aqua Vista Blvd,8200000,1759.0,4661
2533 Aqua Vista Boulevard,Sea Isles,14995000,same street,2506 Aqua Vista Blvd,5100000,1149.0,4438
2533 Aqua Vista Boulevard,Sea Isles,14995000,same street,2340 Aqua Vista Blvd,4615000,1235.0,3736
2533 Aqua Vista Boulevard,Sea Isles,14995000,same street,2430 Aqua Vista Blvd,5100000,834.0,6114
2533 Aqua Vista Boulevard,Sea Isles,14995000,same street,2519 Aqua Vista Blvd,19000000,2357.0,8060
3036 N Atlantic Blvd,Lauderdale Beach,14400000,same street,2504 N Atlantic Blvd,6000000,1972.0,3042
3036 N Atlantic Blvd,Lauderdale Beach,14400000,same street,2920 N Atlantic Blvd,6500000,2364.0,2750
700 SW 12th Ave,Riverside Park,13995000,same street,809 SW 12th Ave,2125000,635.0,3347
700 SW 12th Ave,Riverside Park,13995000,same street,809 SW 12th Ave,715000,240.0,2983
700 SW 12th Ave,Riverside Park,13995000,same street,626 SW 12th Avenue,1700000,623.0,2730
700 SW 12th Ave,Riverside Park,13995000,same street,626 SW 12th Avenue,1750000,645.0,2714
700 SW 12th Ave,Riverside Park,13995000,same street,620 SW 12th Ave,1750000,645.0,2714
2200 N Ocean Boulevard Unit#N1701/N1801,Auberge Beach,13850000,same street,2120 N Ocean Blvd Unit#VII,3775000,717.0,5265
2200 N Ocean Boulevard Unit#N1701/N1801,Auberge Beach,13850000,same street,2160 N Ocean Boulevard Unit#Iii,4000000,826.0,4845
2200 N Ocean Boulevard Unit#N1701/N1801,Auberge Beach,13850000,same street,2100 N Ocean Blvd Unit#30A,4500000,950.0,4738
2200 N Ocean Boulevard Unit#N1701/N1801,Auberge Beach,13850000,same street,2140 N Ocean Blvd Unit#V,4800000,1148.0,4180
2200 N Ocean Boulevard Unit#N1701/N1801,Auberge Beach,13850000,same street,2110 N Ocean Blvd Unit#25A,4000000,973.0,4112
2893 NE 27th Street,Coral Ridge Galt,13500000,same street,2890 NE 27th Street,4000000,793.0,5046
2893 NE 27th Street,Coral Ridge Galt,13500000,same street,3509 NE 27th St,4625000,1113.0,4157
2893 NE 27th Street,Coral Ridge Galt,13500000,same street,422 NE 27th St,1200000,492.0,2440
2893 NE 27th Street,Coral Ridge Galt,13500000,same street,2808 NE 27th St,1650000,718.0,2298
2893 NE 27th Street,Coral Ridge Galt,13500000,same street,314 NE 27th St,1182000,590.0,2003
701 N Fort Lauderdale Beach Boulevard Unit#A1,Paramount Ft Lauderdale Co,12995000,same street,1525 N Fort Lauderdale Beach Boulevard,5050000,1282.0,3938
701 N Fort Lauderdale Beach Boulevard Unit#A1,Paramount Ft Lauderdale Co,12995000,same street,1 N Fort Lauderdale Beach Boulevard Unit#2203,4700000,1226.0,3833
701 N Fort Lauderdale Beach Boulevard Unit#A1,Paramount Ft Lauderdale Co,12995000,same street,505 N Fort Lauderdale Beach Blvd Unit#224,600000,218.0,2757
701 N Fort Lauderdale Beach Boulevard Unit#A1,Paramount Ft Lauderdale Co,12995000,same street,525 N Fort Lauderdale Beach Blvd Unit#1501,5750000,2233.0,2575
701 N Fort Lauderdale Beach Boulevard Unit#A1,Paramount Ft Lauderdale Co,12995000,same street,1 N Fort Lauderdale Beach Blvd Unit#1906,2400000,946.0,2536
400 Mola Avenue,Venice,12995000,same street,400 Mola Ave,8633000,1430.0,6036
400 Mola Avenue,Venice,12995000,same street,423 Mola Ave,2650000,408.0,6500
646 Flamingo Drive,Riviera,12950000,neighborhood + band,821 Solar Isle Dr,14400000,1611.0,8936
2617 Aqua Vista Boulevard,Aqua Vista,12900000,same street,2340 Aqua Vista Blvd,4615000,1235.0,3736
2617 Aqua Vista Boulevard,Aqua Vista,12900000,same street,2506 Aqua Vista Blvd,5100000,1149.0,4438
2617 Aqua Vista Boulevard,Aqua Vista,12900000,same street,2533 Aqua Vista Blvd,8200000,1759.0,4661
2617 Aqua Vista Boulevard,Aqua Vista,12900000,same street,2430 Aqua Vista Blvd,5100000,834.0,6114
2617 Aqua Vista Boulevard,Aqua Vista,12900000,same street,2519 Aqua Vista Blvd,19000000,2357.0,8060
1900 Intracoastal Drive,Coral Ridge,12495000,same street,520 Intracoastal Drive,9250000,1654.0,5594
1900 Intracoastal Drive,Coral Ridge,12495000,same street,2222 Intracoastal Dr,5500000,1014.0,5422
1900 Intracoastal Drive,Coral Ridge,12495000,same street,2110 Intracoastal Dr,4654917,948.0,4908
1900 Intracoastal Drive,Coral Ridge,12495000,same street,2210 Intracoastal Dr,5400000,1194.0,4524
1900 Intracoastal Drive,Coral Ridge,12495000,same street,920 Intracoastal Drive Unit#Ph1,5400000,1257.0,4295
1719 SE 10th Street,Rio Vista,12495000,same street,1733 SE 10th Street,9900000,1719.0,5760
1719 SE 10th Street,Rio Vista,12495000,same street,1520 SE 10th Street,6325000,1365.0,4633
1719 SE 10th Street,Rio Vista,12495000,same street,915 SE 10th St,4050000,909.0,4453
1719 SE 10th Street,Rio Vista,12495000,same street,1791 SE 10th Street,8150000,3022.0,2697
1719 SE 10th Street,Rio Vista,12495000,same street,810 SE 10th Street,1050000,449.0,2337
24 Fiesta Way,Nurmi Isles,12388000,same street,144 Fiesta Way,9250000,1492.0,6200
24 Fiesta Way,Nurmi Isles,12388000,same street,169 Fiesta Way,6500000,961.0,6765
24 Fiesta Way,Nurmi Isles,12388000,same street,30 Fiesta Way,5900000,1071.0,5510
24 Fiesta Way,Nurmi Isles,12388000,same street,56 Fiesta Way,4680000,901.0,5197
24 Fiesta Way,Nurmi Isles,12388000,same street,18 Fiesta Way,3055555,660.0,4632
1529 Middle River Drive,Coral Ridge,11995000,same street,797 Middle River Drive,7600000,1087.0,6994
1529 Middle River Drive,Coral Ridge,11995000,same street,639 Middle River Dr,7200000,1202.0,5990
1529 Middle River Drive,Coral Ridge,11995000,same street,1400 Middle River Drive,4510000,999.0,4515
1529 Middle River Drive,Coral Ridge,11995000,same street,1710 Middle River Dr,3150000,846.0,3722
1529 Middle River Drive,Coral Ridge,11995000,same street,644 Middle River Dr,3300000,936.0,3526
641 Flamingo Dr,Riviera,11990000,neighborhood + band,821 Solar Isle Dr,14400000,1611.0,8936
615 Idlewyld Drive,Idlewyld,11900000,same street,701 Idlewyld Dr,5455000,930.0,5868
615 Idlewyld Drive,Idlewyld,11900000,same street,417 Idlewyld Dr,11800000,1723.0,6848
101 S Fort Lauderdale Beach Boulevard Unit#2905,Las Olas,11295000,same street,101 S Fort Lauderdale Beach Blvd Unit#1903,2900000,956.0,3035
101 S Fort Lauderdale Beach Boulevard Unit#2905,Las Olas,11295000,same street,101 S Fort Lauderdale Beach Boulevard Unit#1201,2800000,949.0,2950
101 S Fort Lauderdale Beach Boulevard Unit#2905,Las Olas,11295000,same street,101 S Fort Lauderdale Beach Blvd Unit#1405,2160000,732.0,2950
101 S Fort Lauderdale Beach Boulevard Unit#2905,Las Olas,11295000,same street,101 S Fort Lauderdale Beach Blvd Unit#901,2110000,715.0,2950
101 S Fort Lauderdale Beach Boulevard Unit#2905,Las Olas,11295000,same street,101 S Fort Lauderdale Beach Blvd Unit#1001,1850000,627.0,2950
2200 N Ocean Boulevard Unit#S1604/1605,Auberge,10995000,same street,2100 N Ocean Blvd Unit#30A,4500000,950.0,4738
2200 N Ocean Boulevard Unit#S1604/1605,Auberge,10995000,same street,2140 N Ocean Blvd Unit#V,4800000,1148.0,4180
2200 N Ocean Boulevard Unit#S1604/1605,Auberge,10995000,same street,2160 N Ocean Boulevard Unit#Iii,4000000,826.0,4845
2200 N Ocean Boulevard Unit#S1604/1605,Auberge,10995000,same street,2110 N Ocean Blvd Unit#25A,4000000,973.0,4112
2200 N Ocean Boulevard Unit#S1604/1605,Auberge,10995000,same street,2150 N Ocean Blvd Unit#IV,4200000,1100.0,3817
100 E Las Olas Boulevard Unit#4603,Las Olas,10990000,same street,1760 E Las Olas Blvd Unit#300,2300000,592.0,3886
100 E Las Olas Boulevard Unit#4603,Las Olas,10990000,same street,2615 E Las Olas Boulevard,4160000,1103.0,3773
100 E Las Olas Boulevard Unit#4603,Las Olas,10990000,same street,2417 E Las Olas Blvd,2195000,672.0,3266
100 E Las Olas Boulevard Unit#4603,Las Olas,10990000,same street,100 E Las Olas Blvd Unit#4103,2100000,709.0,2964
100 E Las Olas Boulevard Unit#4603,Las Olas,10990000,same street,100 E Las Olas Boulevard Unit#3303,2100000,709.0,2964
2848 NE 26th Pl,Coral Ridge Galt,10500000,same street,2871 NE 26th Place,4950000,896.0,5523
2848 NE 26th Pl,Coral Ridge Galt,10500000,same street,2864 NE 26th Pl,2900000,551.0,5260
2848 NE 26th Pl,Coral Ridge Galt,10500000,same street,2624 NE 26th Pl,1300000,529.0,2458
2848 NE 26th Pl,Coral Ridge Galt,10500000,same street,2831 NE 26th Pl,3550000,1446.0,2455
1 N Fort Lauderdale Beach Blvd Unit#2102,Ritz Carlton,10495000,same street,1525 N Fort Lauderdale Beach Boulevard,5050000,1282.0,3938
1 N Fort Lauderdale Beach Blvd Unit#2102,Ritz Carlton,10495000,same street,1 N Fort Lauderdale Beach Boulevard Unit#2203,4700000,1226.0,3833
1 N Fort Lauderdale Beach Blvd Unit#2102,Ritz Carlton,10495000,same street,505 N Fort Lauderdale Beach Blvd Unit#224,600000,218.0,2757
1 N Fort Lauderdale Beach Blvd Unit#2102,Ritz Carlton,10495000,same street,525 N Fort Lauderdale Beach Blvd Unit#1501,5750000,2233.0,2575
1 N Fort Lauderdale Beach Blvd Unit#2102,Ritz Carlton,10495000,same street,1 N Fort Lauderdale Beach Blvd Unit#1906,2400000,946.0,2536
2508 Delmar Place,Gould Isles,10495000,same street,2412 Delmar Place,7164446,1506.0,4758
2508 Delmar Place,Gould Isles,10495000,same street,2425 Delmar Place,5975000,1268.0,4714
2508 Delmar Place,Gould Isles,10495000,same street,2323 Delmar Pl,5275000,1220.0,4322
2508 Delmar Place,Gould Isles,10495000,same street,2626 Delmar Pl,27800000,2049.0,13567
2437 Delmar Place,Gould Isles,10495000,same street,2412 Delmar Place,7164446,1506.0,4758
2437 Delmar Place,Gould Isles,10495000,same street,2425 Delmar Place,5975000,1268.0,4714
2437 Delmar Place,Gould Isles,10495000,same street,2323 Delmar Pl,5275000,1220.0,4322
2437 Delmar Place,Gould Isles,10495000,same street,2626 Delmar Pl,27800000,2049.0,13567
111 Fiesta Way,Nurmi Isles,10200000,same street,144 Fiesta Way,9250000,1492.0,6200
111 Fiesta Way,Nurmi Isles,10200000,same street,169 Fiesta Way,6500000,961.0,6765
111 Fiesta Way,Nurmi Isles,10200000,same street,30 Fiesta Way,5900000,1071.0,5510
111 Fiesta Way,Nurmi Isles,10200000,same street,56 Fiesta Way,4680000,901.0,5197
111 Fiesta Way,Nurmi Isles,10200000,same street,18 Fiesta Way,3055555,660.0,4632
1313 Seabreeze Boulevard,Harbor Beach,10000000,same street,1515 Seabreeze Blvd,2200000,654.0,3366
1313 Seabreeze Boulevard,Harbor Beach,10000000,same street,1237 Seabreeze Blvd,4400000,1358.0,3240
1313 Seabreeze Boulevard,Harbor Beach,10000000,same street,1217 Seabreeze Blvd,1862000,688.0,2706
1313 Seabreeze Boulevard,Harbor Beach,10000000,same street,1344 Seabreeze Blvd,1635000,628.0,2605
1313 Seabreeze Boulevard,Harbor Beach,10000000,same street,1530 Seabreeze Boulevard,1635000,776.0,2106
151 N Seabreeze Boulevard Unit#Ph2601-e,Selene Oceanfront Residenc,9999000,same street,153 N Seabreeze Blvd Unit#2302,5250000,1620.0,3240
151 N Seabreeze Boulevard Unit#Ph2601-e,Selene Oceanfront Residenc,9999000,same street,153 N Seabreeze Boulevard Unit#1902-S,4675000,1443.0,3240
151 N Seabreeze Boulevard Unit#Ph2601-e,Selene Oceanfront Residenc,9999000,same street,153 N Seabreeze Boulevard Unit#S-502,3100000,957.0,3240
151 N Seabreeze Boulevard Unit#Ph2601-e,Selene Oceanfront Residenc,9999000,same street,151 N Seabreeze Boulevard Unit#E-2502,2845000,1243.0,2288
151 N Seabreeze Boulevard Unit#Ph2601-e,Selene Oceanfront Residenc,9999000,same street,153 N Seabreeze Boulevard Unit#2505,2200000,1164.0,1890
153 N Seabreeze Boulevard Unit#Ph 2601-s,Selene,9999000,same street,153 N Seabreeze Blvd Unit#2302,5250000,1620.0,3240
153 N Seabreeze Boulevard Unit#Ph 2601-s,Selene,9999000,same street,153 N Seabreeze Boulevard Unit#1902-S,4675000,1443.0,3240
153 N Seabreeze Boulevard Unit#Ph 2601-s,Selene,9999000,same street,153 N Seabreeze Boulevard Unit#S-502,3100000,957.0,3240
153 N Seabreeze Boulevard Unit#Ph 2601-s,Selene,9999000,same street,151 N Seabreeze Boulevard Unit#E-2502,2845000,1243.0,2288
153 N Seabreeze Boulevard Unit#Ph 2601-s,Selene,9999000,same street,153 N Seabreeze Boulevard Unit#2505,2200000,1164.0,1890
2200 N Ocean Blvd Unit#S1704/05,Fort Lauderdale Beach Auberge Beach Residences,9995000,same street,2100 N Ocean Blvd Unit#30A,4500000,950.0,4738
2200 N Ocean Blvd Unit#S1704/05,Fort Lauderdale Beach Auberge Beach Residences,9995000,same street,2140 N Ocean Blvd Unit#V,4800000,1148.0,4180
2200 N Ocean Blvd Unit#S1704/05,Fort Lauderdale Beach Auberge Beach Residences,9995000,same street,2160 N Ocean Boulevard Unit#Iii,4000000,826.0,4845
2200 N Ocean Blvd Unit#S1704/05,Fort Lauderdale Beach Auberge Beach Residences,9995000,same street,2110 N Ocean Blvd Unit#25A,4000000,973.0,4112
2200 N Ocean Blvd Unit#S1704/05,Fort Lauderdale Beach Auberge Beach Residences,9995000,same street,2150 N Ocean Blvd Unit#IV,4200000,1100.0,3817
816 Riviera Isle Drive,Riviera,9900000,same street,635 Riviera Isle Drive,2500000,904.0,2767
816 Riviera Isle Drive,Riviera,9900000,same street,324 Riviera Isle Dr,1478000,604.0,2446
816 Riviera Isle Drive,Riviera,9900000,same street,713 Riviera Isle Drive,2300000,1055.0,2180
816 Riviera Isle Drive,Riviera,9900000,same street,601 Riviera Isle Dr,4250000,768.0,5535
816 Riviera Isle Drive,Riviera,9900000,same street,328 Riviera Isle Dr,1150000,859.0,1338
2010 Intracoastal Dr,Coral Ridge,9799000,same street,2110 Intracoastal Dr,4654917,948.0,4908
2010 Intracoastal Dr,Coral Ridge,9799000,same street,2222 Intracoastal Dr,5500000,1014.0,5422
2010 Intracoastal Dr,Coral Ridge,9799000,same street,2210 Intracoastal Dr,5400000,1194.0,4524
2010 Intracoastal Dr,Coral Ridge,9799000,same street,520 Intracoastal Drive,9250000,1654.0,5594
2010 Intracoastal Dr,Coral Ridge,9799000,same street,920 Intracoastal Drive Unit#Ph1,5400000,1257.0,4295
2231 NE 15th Court,Bal Harbour St,9700000,same street,2222 NE 15th Court,1562000,580.0,2691
2231 NE 15th Court,Bal Harbour St,9700000,same street,2207 NE 15th Ct,2640000,1063.0,2484
2231 NE 15th Court,Bal Harbour St,9700000,same street,3304 NE 15th Ct,2175000,1113.0,1954
2231 NE 15th Court,Bal Harbour St,9700000,same street,700 NE 15th Court,685000,659.0,1040
2231 NE 15th Court,Bal Harbour St,9700000,same street,705 NE 15th Ct,475000,522.0,910
2200 N Ocean Blvd Unit#S2301,Fort Lauderdale Beac Auberge Beach,9500000,same street,2140 N Ocean Blvd Unit#V,4800000,1148.0,4180
2200 N Ocean Blvd Unit#S2301,Fort Lauderdale Beac Auberge Beach,9500000,same street,2110 N Ocean Blvd Unit#25A,4000000,973.0,4112
2200 N Ocean Blvd Unit#S2301,Fort Lauderdale Beac Auberge Beach,9500000,same street,2100 N Ocean Blvd Unit#30A,4500000,950.0,4738
2200 N Ocean Blvd Unit#S2301,Fort Lauderdale Beac Auberge Beach,9500000,same street,2160 N Ocean Boulevard Unit#Iii,4000000,826.0,4845
2200 N Ocean Blvd Unit#S2301,Fort Lauderdale Beac Auberge Beach,9500000,same street,2150 N Ocean Blvd Unit#IV,4200000,1100.0,3817
720 Isle Of Palms Drive,Las Olas Isles,9500000,same street,630 Isle Of Palms Dr,10729500,1522.0,7050
720 Isle Of Palms Drive,Las Olas Isles,9500000,same street,508 Isle Of Palms Dr,6115000,928.0,6586
720 Isle Of Palms Drive,Las Olas Isles,9500000,same street,710 Isle Of Palms Drive,6495000,1167.0,5567
720 Isle Of Palms Drive,Las Olas Isles,9500000,same street,449 Isle Of Palms Dr,4050000,953.0,4251
1813 N Fort Lauderdale Beach Boulevard,Birch Park Finger Estates,9495000,same street,1525 N Fort Lauderdale Beach Boulevard,5050000,1282.0,3938
